best,bks,config,fe_of_best,gap,gen_of_best,generations,instance,n_routes,respects_k,seed,wall,p_dup,p_ls_cap_fe,p_ls_clones,p_pop_size,p_tau_b
721,681,pop10,250511,5.874,25,35,P-n101-k4,4,True,100,3.08,,5000,2,10,
721,681,pop10,305630,5.874,31,35,P-n101-k4,4,True,101,3.07,,5000,2,10,
726,681,pop10,230476,6.608,23,35,P-n101-k4,4,True,102,3.19,,5000,2,10,
1364,1354,pop20,75340,0.739,8,36,A-n60-k9,9,True,100,2.45,,5000,2,20,
1364,1354,pop20,259310,0.739,26,36,A-n60-k9,9,True,101,2.36,,5000,2,20,
1364,1354,pop20,115500,0.739,12,36,A-n60-k9,9,True,102,2.41,,5000,2,20,
1332,1316,pop20,306260,1.216,31,35,B-n66-k9,9,True,100,2.5,,5000,2,20,
1353,1316,pop20,170700,2.812,17,35,B-n66-k9,9,True,101,2.53,,5000,2,20,
1337,1316,pop20,336380,1.596,34,35,B-n66-k9,9,True,102,2.49,,5000,2,20,
1108,1067,pop20,256060,3.843,26,35,E-n101-k14,14,True,100,3.02,,5000,2,20,
1100,1067,pop20,235980,3.093,24,35,E-n101-k14,14,True,101,2.99,,5000,2,20,
1114,1067,pop20,185780,4.405,19,35,E-n101-k14,14,True,102,3.02,,5000,2,20,
724,681,pop20,306260,6.314,31,35,P-n101-k4,4,True,100,4.99,,5000,2,20,
730,681,pop20,350000,7.195,35,35,P-n101-k4,4,True,101,4.95,,5000,2,20,
730,681,pop20,261060,7.195,26,35,P-n101-k4,4,True,102,4.93,,5000,2,20,
1358,1354,dup3,145690,0.295,15,36,A-n60-k9,9,True,100,2.54,3,5000,2,,
1366,1354,dup3,236095,0.886,24,35,A-n60-k9,9,True,101,2.46,3,5000,2,,
1360,1354,dup3,170780,0.443,17,36,A-n60-k9,9,True,102,2.5,3,5000,2,,
1327,1316,dup3,120555,0.836,12,36,B-n66-k9,9,True,100,2.68,3,5000,2,,
1358,1316,dup3,266230,3.191,27,35,B-n66-k9,9,True,101,2.57,3,5000,2,,
1327,1316,dup3,266230,0.836,27,35,B-n66-k9,9,True,102,2.66,3,5000,2,,
1108,1067,dup3,291320,3.843,29,35,E-n101-k14,14,True,100,3.18,3,5000,2,,
1119,1067,dup3,195915,4.873,20,35,E-n101-k14,14,True,101,3.23,3,5000,2,,
1114,1067,dup3,246140,4.405,25,35,E-n101-k14,14,True,102,3.16,3,5000,2,,
726,681,dup3,311410,6.608,31,35,P-n101-k4,4,True,100,5.4,3,5000,2,,
703,681,dup3,145690,3.231,15,35,P-n101-k4,4,True,101,5.57,3,5000,2,,
720,681,dup3,271237,5.727,27,35,P-n101-k4,4,True,102,5.58,3,5000,2,,
1358,1354,tau10,130405,0.295,13,36,A-n60-k9,9,True,100,2.36,,5000,2,,10
1364,1354,tau10,184184,0.739,19,36,A-n60-k9,9,True,101,2.24,,5000,2,,10
1358,1354,tau10,110345,0.295,11,36,A-n60-k9,9,True,102,2.36,,5000,2,,10
1328,1316,tau10,300916,0.912,30,35,B-n66-k9,9,True,100,2.25,,5000,2,,10
1334,1316,tau10,336035,1.368,34,35,B-n66-k9,9,True,101,2.25,,5000,2,,10
1327,1316,tau10,346065,0.836,35,35,B-n66-k9,9,True,102,2.25,,5000,2,,10
1100,1067,tau10,245778,3.093,25,35,E-n101-k14,14,True,100,2.83,,5000,2,,10
1112,1067,tau10,315991,4.217,32,35,E-n101-k14,14,True,101,2.87,,5000,2,,10
1109,1067,tau10,275865,3.936,28,35,E-n101-k14,14,True,102,2.83,,5000,2,,10
727,681,tau10,215675,6.755,22,35,P-n101-k4,4,True,100,4.44,,5000,2,,10
729,681,tau10,305961,7.048,31,35,P-n101-k4,4,True,101,4.4,,5000,2,,10
733,681,tau10,255795,7.636,26,35,P-n101-k4,4,True,102,4.26,,5000,2,,10
1364,1354,tau30,215675,0.739,22,35,A-n60-k9,9,True,100,2.3,,5000,2,,30
1362,1354,tau30,319560,0.591,32,36,A-n60-k9,9,True,101,2.34,,5000,2,,30
1358,1354,tau30,110345,0.295,11,36,A-n60-k9,9,True,102,2.34,,5000,2,,30
1338,1316,tau30,346065,1.672,35,35,B-n66-k9,9,True,100,2.5,,5000,2,,30
1335,1316,tau30,285885,1.444,29,35,B-n66-k9,9,True,101,2.47,,5000,2,,30
1321,1316,tau30,305945,0.38,31,35,B-n66-k9,9,True,102,2.5,,5000,2,,30
1110,1067,tau30,100315,4.03,10,35,E-n101-k14,14,True,100,2.74,,5000,2,,30
1120,1067,tau30,175555,4.967,18,35,E-n101-k14,14,True,101,2.72,,5000,2,,30
1122,1067,tau30,235735,5.155,24,35,E-n101-k14,14,True,102,2.83,,5000,2,,30
745,681,tau30,65225,9.398,7,35,P-n101-k4,4,True,100,4.43,,5000,2,,30
730,681,tau30,326005,7.195,33,35,P-n101-k4,4,True,101,4.23,,5000,2,,30
733,681,tau30,315975,7.636,32,35,P-n101-k4,4,True,102,4.34,,5000,2,,30
