best,bks,config,fe_of_best,gap,gen_of_best,generations,instance,n_routes,respects_k,seed,wall,p_dup,p_ls_cap_fe,p_ls_clones,p_pop_size,p_tau_b
1365,1354,base,30105,0.812,3,35,A-n60-k9,9,True,100,2.22,,5000,2,,
1358,1354,base,269410,0.295,27,36,A-n60-k9,9,True,101,2.16,,5000,2,,
1358,1354,base,110345,0.295,11,35,A-n60-k9,9,True,102,2.23,,5000,2,,
1338,1316,base,326005,1.672,33,35,B-n66-k9,9,True,100,2.24,,5000,2,,
1343,1316,base,215675,2.052,22,35,B-n66-k9,9,True,101,2.56,,5000,2,,
1324,1316,base,215675,0.608,22,35,B-n66-k9,9,True,102,2.31,,5000,2,,
1107,1067,base,240735,3.749,24,35,E-n101-k14,14,True,100,2.56,,5000,2,,
1116,1067,base,305945,4.592,31,35,E-n101-k14,14,True,101,2.55,,5000,2,,
1126,1067,base,75255,5.53,8,35,E-n101-k14,14,True,102,2.62,,5000,2,,
745,681,base,65225,9.398,7,35,P-n101-k4,4,True,100,4.02,,5000,2,,
721,681,base,265825,5.874,27,35,P-n101-k4,4,True,101,4.05,,5000,2,,
735,681,base,225705,7.93,23,35,P-n101-k4,4,True,102,3.99,,5000,2,,
1354,1354,pop10,247190,0.0,25,36,A-n60-k9,9,True,100,1.93,,5000,2,10,
1354,1354,pop10,193643,0.0,20,36,A-n60-k9,9,True,101,1.91,,5000,2,10,
1364,1354,pop10,220450,0.739,22,35,A-n60-k9,9,True,102,1.94,,5000,2,10,
1342,1316,pop10,270550,1.976,27,35,B-n66-k9,9,True,100,2.06,,5000,2,10,
1393,1316,pop10,145310,5.851,15,35,B-n66-k9,9,True,101,1.97,,5000,2,10,
1339,1316,pop10,225470,1.748,23,35,B-n66-k9,9,True,102,1.97,,5000,2,10,
1118,1067,pop10,255536,4.78,26,35,E-n101-k14,14,True,100,2.22,,5000,2,10,
1118,1067,pop10,95210,4.78,10,35,E-n101-k14,14,True,101,2.2,,5000,2,10,
1113,1067,pop10,40090,4.311,4,35,E-n101-k14,14,True,102,2.34,,5000,2,10,
